timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667103342453,85,Request1,200,OK,Thread Group 1-1,text,true,,17106,234,1,1,https://www.google.com/,28,0,17
1667103342453,28,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,115,1,1,https://google.com/,28,0,17
1667103342481,57,Request1-1,200,OK,Thread Group 1-1,text,true,,16403,119,1,1,https://www.google.com/,57,0,14
1667103342539,51,Request1,200,OK,Thread Group 1-1,text,true,,17063,234,2,2,https://www.google.com/,10,0,0
1667103342539,10,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,115,2,2,https://google.com/,10,0,0
1667103342549,41,Request1-1,200,OK,Thread Group 1-1,text,true,,16360,119,2,2,https://www.google.com/,41,0,0
1667103342552,70,Request1,200,OK,Thread Group 1-2,text,true,,17092,234,2,2,https://www.google.com/,21,0,12
1667103342552,21,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,115,2,2,https://google.com/,21,0,12
1667103342573,49,Request1-1,200,OK,Thread Group 1-2,text,true,,16389,119,2,2,https://www.google.com/,49,0,10
1667103342591,49,Request1,200,OK,Thread Group 1-1,text,true,,17078,234,2,2,https://www.google.com/,10,0,0
1667103342591,10,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,115,2,2,https://google.com/,10,0,0
1667103342601,39,Request1-1,200,OK,Thread Group 1-1,text,true,,16375,119,2,2,https://www.google.com/,39,0,0
1667103342623,47,Request1,200,OK,Thread Group 1-2,text,true,,17134,234,3,3,https://www.google.com/,8,0,0
1667103342623,8,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,115,3,3,https://google.com/,8,0,0
1667103342631,39,Request1-1,200,OK,Thread Group 1-2,text,true,,16431,119,3,3,https://www.google.com/,39,0,0
1667103342641,56,Request1,200,OK,Thread Group 1-1,text,true,,17102,234,3,3,https://www.google.com/,8,0,0
1667103342641,8,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,115,3,3,https://google.com/,8,0,0
1667103342649,48,Request1-1,200,OK,Thread Group 1-1,text,true,,16399,119,3,3,https://www.google.com/,47,0,0
1667103342670,53,Request1,200,OK,Thread Group 1-2,text,true,,17093,234,3,3,https://www.google.com/,10,0,0
1667103342648,75,Request1,200,OK,Thread Group 1-3,text,true,,17073,234,3,3,https://www.google.com/,23,0,14
1667103342670,10,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,115,3,3,https://google.com/,10,0,0
1667103342648,23,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,115,3,3,https://google.com/,23,0,14
1667103342680,43,Request1-1,200,OK,Thread Group 1-2,text,true,,16390,119,3,3,https://www.google.com/,42,0,0
1667103342672,51,Request1-1,200,OK,Thread Group 1-3,text,true,,16370,119,3,3,https://www.google.com/,50,0,10
1667103342723,51,Request1,200,OK,Thread Group 1-3,text,true,,17034,234,4,4,https://www.google.com/,11,0,0
1667103342723,11,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,115,4,4,https://google.com/,11,0,0
1667103342734,40,Request1-1,200,OK,Thread Group 1-3,text,true,,16331,119,4,4,https://www.google.com/,39,0,0
1667103342723,51,Request1,200,OK,Thread Group 1-2,text,true,,17068,234,4,4,https://www.google.com/,11,0,0
1667103342723,11,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,115,4,4,https://google.com/,11,0,0
1667103342734,40,Request1-1,200,OK,Thread Group 1-2,text,true,,16365,119,4,4,https://www.google.com/,40,0,0
1667103342697,110,Request1,200,OK,Thread Group 1-1,text,true,,17047,234,4,4,https://www.google.com/,9,0,0
1667103342697,9,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,115,4,4,https://google.com/,9,0,0
1667103342706,101,Request1-1,200,OK,Thread Group 1-1,text,true,,16344,119,4,4,https://www.google.com/,101,0,0
1667103342775,49,Request1,200,OK,Thread Group 1-2,text,true,,17062,234,4,4,https://www.google.com/,10,0,0
1667103342775,10,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,115,4,4,https://google.com/,10,0,0
1667103342785,39,Request1-1,200,OK,Thread Group 1-2,text,true,,16359,119,4,4,https://www.google.com/,38,0,0
1667103342774,51,Request1,200,OK,Thread Group 1-3,text,true,,17081,234,4,4,https://www.google.com/,10,0,0
1667103342774,10,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,115,4,4,https://google.com/,10,0,0
1667103342784,41,Request1-1,200,OK,Thread Group 1-3,text,true,,16378,119,4,4,https://www.google.com/,40,0,0
1667103342751,82,Request1,200,OK,Thread Group 1-4,text,true,,17049,234,4,4,https://www.google.com/,24,0,13
1667103342751,24,Request1-0,301,Moved Permanently,Thread Group 1-4,text,true,,703,115,4,4,https://google.com/,24,0,13
1667103342775,58,Request1-1,200,OK,Thread Group 1-4,text,true,,16346,119,4,4,https://www.google.com/,57,0,13
1667103342808,53,Request1,200,OK,Thread Group 1-1,text,true,,17125,234,5,5,https://www.google.com/,10,0,0
1667103342808,10,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,115,5,5,https://google.com/,10,0,0
1667103342818,43,Request1-1,200,OK,Thread Group 1-1,text,true,,16422,119,5,5,https://www.google.com/,42,0,0
1667103342824,53,Request1,200,OK,Thread Group 1-2,text,true,,17092,234,5,5,https://www.google.com/,10,0,0
1667103342824,10,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,115,5,5,https://google.com/,10,0,0
1667103342834,43,Request1-1,200,OK,Thread Group 1-2,text,true,,16389,119,5,5,https://www.google.com/,42,0,0
1667103342825,52,Request1,200,OK,Thread Group 1-3,text,true,,17128,234,5,5,https://www.google.com/,8,0,0
1667103342825,8,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,115,5,5,https://google.com/,8,0,0
1667103342833,44,Request1-1,200,OK,Thread Group 1-3,text,true,,16425,119,5,5,https://www.google.com/,44,0,0
1667103342833,50,Request1,200,OK,Thread Group 1-4,text,true,,17071,234,5,5,https://www.google.com/,9,0,0
1667103342833,9,Request1-0,301,Moved Permanently,Thread Group 1-4,text,true,,703,115,5,5,https://google.com/,9,0,0
1667103342842,41,Request1-1,200,OK,Thread Group 1-4,text,true,,16368,119,5,5,https://www.google.com/,41,0,0
1667103342861,54,Request1,200,OK,Thread Group 1-1,text,true,,17050,234,5,5,https://www.google.com/,10,0,0
1667103342861,10,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,115,5,5,https://google.com/,10,0,0
1667103342871,44,Request1-1,200,OK,Thread Group 1-1,text,true,,16347,119,5,5,https://www.google.com/,43,0,0
1667103342877,54,Request1,200,OK,Thread Group 1-3,text,true,,17068,234,5,5,https://www.google.com/,9,0,0
1667103342877,9,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,115,5,5,https://google.com/,9,0,0
1667103342886,45,Request1-1,200,OK,Thread Group 1-3,text,true,,16365,119,5,5,https://www.google.com/,44,0,0
1667103342884,47,Request1,200,OK,Thread Group 1-4,text,true,,17096,234,5,5,https://www.google.com/,9,0,0
1667103342884,9,Request1-0,301,Moved Permanently,Thread Group 1-4,text,true,,703,115,5,5,https://google.com/,9,0,0
1667103342893,38,Request1-1,200,OK,Thread Group 1-4,text,true,,16393,119,5,5,https://www.google.com/,38,0,0
1667103342858,75,Request1,200,OK,Thread Group 1-5,text,true,,17055,234,5,5,https://www.google.com/,22,0,13
1667103342858,22,Request1-0,301,Moved Permanently,Thread Group 1-5,text,true,,703,115,5,5,https://google.com/,22,0,13
1667103342880,53,Request1-1,200,OK,Thread Group 1-5,text,true,,16352,119,5,5,https://www.google.com/,53,0,11
1667103342877,60,Request1,200,OK,Thread Group 1-2,text,true,,17089,234,5,5,https://www.google.com/,10,0,0
1667103342877,10,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,115,5,5,https://google.com/,10,0,0
1667103342887,50,Request1-1,200,OK,Thread Group 1-2,text,true,,16386,119,5,5,https://www.google.com/,48,0,0
1667103342915,58,Request1,200,OK,Thread Group 1-1,text,true,,17077,234,6,6,https://www.google.com/,10,0,0
1667103342915,10,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,115,6,6,https://google.com/,10,0,0
1667103342925,48,Request1-1,200,OK,Thread Group 1-1,text,true,,16374,119,6,6,https://www.google.com/,48,0,0
1667103342931,48,Request1,200,OK,Thread Group 1-3,text,true,,17145,234,6,6,https://www.google.com/,10,0,0
1667103342931,10,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,115,6,6,https://google.com/,10,0,0
1667103342941,38,Request1-1,200,OK,Thread Group 1-3,text,true,,16442,119,6,6,https://www.google.com/,38,0,0
1667103342931,53,Request1,200,OK,Thread Group 1-4,text,true,,17091,234,6,6,https://www.google.com/,9,0,0
